bank,txn_id,timestamp,sender_account,sender_name,receiver_account,receiver_name,amount,channel
SBI,SB000001,2025-09-01 10:44:00,1010433218196001,Sunita Nair,1033890838637940,Geeta Reddy,5594,NEFT
SBI,SB000002,2025-09-01 12:11:00,1011615594078161,Shreya Bose,1084959310341316,Neeraj Roy,12454,NEFT
SBI,SB000003,2025-09-01 13:42:00,1034192832764835,Rahul Chandra,1003056413953767,Mohit Khanna,24911,IMPS
SBI,SB000004,2025-09-01 14:50:00,1096965328710122,Vikas Yadav,1069166978480184,Karan Jain,5682,IMPS
SBI,SB000005,2025-09-01 15:58:00,1082814893252880,Vikram Patel,1095701543039117,Ritu Kapoor,58658,IMPS
SBI,SB000006,2025-09-01 18:19:00,1024896383465787,Manisha Iyer,1013315098393010,Vikram Patel,892959,NEFT
SBI,SB000007,2025-09-01 19:20:00,1047382997376311,Ritu Kapoor,1065667010651333,Sahil Sinha,6512,NEFT
SBI,SB000008,2025-09-01 20:24:00,1017810801326773,Aditya Desai,1060260647468723,Rakesh Menon,1414630,RTGS
SBI,SB000009,2025-09-01 20:40:00,1050097882081219,Naveen Pillai,1013619399091699,Kajal Thomas,628363,IMPS
SBI,SB000010,2025-09-01 22:01:00,1034624751079911,Ankit Saxena,1083842513542784,Naveen Pillai,18673,NEFT
SBI,SB000011,2025-09-02 00:51:00,1012411824493534,Yash Chauhan,1087401640052427,Geeta Reddy,4165,NEFT
SBI,SB000012,2025-09-02 03:48:00,1028059826204505,Vikas Yadav,1033158692322602,Arjun Nair,90056,NEFT
SBI,SB000013,2025-09-02 06:48:00,1016073375433036,Mohit Khanna,1054145868501429,Rohit Gupta,14739,NEFT
SBI,SB000014,2025-09-02 08:09:00,1069816934060883,Yash Chauhan,1056159514846564,Isha Kapoor,22288,UPI
SBI,SB000015,2025-09-02 11:03:00,1029946804436995,Sneha Joshi,1077738721489513,Manisha Iyer,63628,NEFT
SBI,SB000016,2025-09-02 12:06:00,1079176936763201,Sonia Deshmukh,1063287083172788,Kajal Thomas,1128144,IMPS
SBI,SB000017,2025-09-02 14:16:00,1068727743487347,Vikram Patel,1014345581223623,Arjun Nair,18280,IMPS
SBI,SB000018,2025-09-02 14:32:00,1036690967054668,Isha Kapoor,1089373467065627,Ankit Saxena,13411,IMPS
SBI,SB000019,2025-09-02 17:22:00,1001627204653755,Aarti Bhat,1064641708053100,Pooja Reddy,187880,NEFT
SBI,SB000020,2025-09-02 17:55:00,1071937452991241,Mitali Banerjee,1090496631931491,Rohit Gupta,14537,IMPS
SBI,SB000021,2025-09-02 18:13:00,1085067165726284,Mitali Banerjee,1098776945314737,Ankit Saxena,11523,NEFT
SBI,SB000022,2025-09-02 19:37:00,1027354549480831,Sneha Joshi,1036783777014363,Harshal Dixit,18636,IMPS
SBI,SB000023,2025-09-02 21:26:00,1085574443135182,Sneha Joshi,1033749894134352,Aman Sharma,58183,NEFT
SBI,SB000024,2025-09-02 21:40:00,1084271094777520,Aarti Bhat,1047116719022941,Karan Jain,14137,IMPS
SBI,SB000025,2025-09-03 00:19:00,1038677496499091,Tanvi Agarwal,1033412328120679,Aditya Desai,9940,RTGS
SBI,SB000026,2025-09-03 03:19:00,1071349361832421,Pranav Mitra,1002499471746488,Sahil Sinha,1806,RTGS
SBI,SB000027,2025-09-03 04:42:00,1094013990490278,Vikas Yadav,1074296717565512,Arjun Nair,9944,IMPS
SBI,SB000028,2025-09-03 06:25:00,1080715451680876,Pranav Mitra,1003859770348247,Karan Jain,21144,IMPS
SBI,SB000029,2025-09-03 07:27:00,1024808613171274,Vikram Patel,1084677378263982,Shreya Bose,133775,NEFT
